"Source2Sink","Include"
"ISONE - Maritimes","Yes"
"HQ - ISONE","Yes"
"ISONE - NYISO","Yes"
"ERCOT - Mexico","Yes"
"Southwest - Mexico","Yes"
"RockiesUS - Southwest","Yes"
"NYISO - PJM","Yes"
"NYISO - IESO","Yes"
"California - Southwest","Yes"
"NYISO - HQ","Yes"
"IESO - MH","Yes"
"IESO - MISO","Yes"
"IESO - HQ","Yes"
"HQ - Maritimes","Yes"
"California - Mexico","Yes"
"MISO - PJM","Yes"
"PJM - SERC","Yes"
"MISO - SERC","Yes"
"California - RockiesUS","Yes"
"SERC - SPP","Yes"
"MISO - SPP","Yes"
"SERC - FRCC","Yes"
"NorthwestUS - BC","Yes"
"NorthwestUS - Southwest","Yes"
"NorthwestUS - RockiesUS","Yes"
"NorthwestUS - California","Yes"
"AB - BC","Yes"
"AB - NorthwestUS","Yes"
"MISO - MH","Yes"
"SPP - SaskPower","Yes"
"MH - SaskPower","Yes"
"Southwest - SPP","Yes"
"RockiesUS - SPP","Yes"
"AB - SaskPower","Yes"
"NorthwestUS - SPP","Yes"
"SPP - ERCOT","Yes"
